policy_id,policy_title,domain,state,district,source_type,source_name,respondent_type,comment_text,stance_label,sentiment_label,policy_domain,app_name,package_name,review_text,rating,file_name,word_count
,,,,,,,,Phil Total Chhattisgarh 3 9 0 12 25.0% 75.0% 0.0% 100.0% It has been seen that 75 percent of the teachers interviewed were post graduates and the rest were graduates.,Neutral,,,,,,,Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,30.0
P014,National Food Security Act / PDS,Food_Security,Maharashtra,Mumbai,news_comment,,student,"According to feedback collected in Mumbai, National Food Security Act / PDS has made real difference on the ground in our area as reflected in recent conversations on social media.",Support,Positive,,,,,,,
P008,Ayushman Bharat – PM-JAY Health Insurance,Public_Health,Uttar Pradesh,Lucknow,news_comment,,shopkeeper,"On the ground in Lucknow, it is observed that Ayushman Bharat – PM-JAY Health Insurance looks good on paper but implementation is very weak",Oppose,Negative,,,,,,,
P017,Smart Cities Mission,Urban_Infra,Haryana,Gurugram,survey_feedback,,teacher,People in Gurugram often say that Smart Cities Mission is a step in the right direction and should be strengthened further whenever the topic comes up in public meetings.,Support,Positive,,,,,,,
P017,Smart Cities Mission,Urban_Infra,Maharashtra,Mumbai,play_store_review,,employee,"In Mumbai, many employees feel that Smart Cities Mission is one of the few schemes that actually reaches villages",Support,Positive,,,,,,,
P002,NPEGEL – Girls Education Initiative,Girls_Education,Punjab,Ludhiana,social_media_post,,farmer,People in Ludhiana often say that NPEGEL – Girls Education Initiative has created more confusion than benefit for common people as reflected in recent conversations on social media.,Oppose,Negative,,,,,,,
P013,Atal Pension Yojana (APY),Social_Security,Punjab,Ludhiana,play_store_review,,NGO_rep,"In Ludhiana, many NGO representatives feel that Atal Pension Yojana (APY) seems useful for some groups but others are left out as reflected in recent conversations on social media.",Neutral,Neutral,,,,,,,
P018,Data Protection / DPDP Act,Data_Protection,Rajasthan,Jaipur,play_store_review,,farmer,"On the ground in Jaipur, it is observed that Data Protection / DPDP Act needs proper monitoring and transparency before we can judge it according to informal surveys done by community groups.",Neutral,Neutral,,,,,,,
P016,Jal Jeevan Mission (JJM),Drinking_Water,Delhi,New Delhi,play_store_review,,shopkeeper,"According to feedback collected in New Delhi, Jal Jeevan Mission (JJM) needs proper monitoring and transparency before we can judge it",Neutral,Neutral,,,,,,,
P015,Beti Bachao Beti Padhao (BBBP),Women_Child,Rajasthan,Jaipur,play_store_review,,official,"According to feedback collected in Jaipur, Beti Bachao Beti Padhao (BBBP) reduced our daily struggles and brought some relief according to informal surveys done by community groups.",Support,Positive,,,,,,,
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Punjab,Ludhiana,news_comment,,official,"In Ludhiana, many officials feel that Mid-Day Meal Scheme (MDM) looks good on paper but implementation is very weak according to informal surveys done by community groups.",Oppose,Negative,,,,,,,
P007,National Education Policy 2020 (NEP 2020),Education_Reform,West Bengal,Kolkata,play_store_review,,shopkeeper,"According to feedback collected in Kolkata, National Education Policy 2020 (NEP 2020) has too much paperwork and corruption at local level based on their day-to-day experience.",Oppose,Negative,,,,,,,
P004,Kasturba Gandhi Balika Vidyalaya (KGBV),Residential_Girls_Education,Tamil Nadu,Chennai,survey_feedback,,teacher,"In Chennai, many teachers feel that Kasturba Gandhi Balika Vidyalaya (KGBV) has many loopholes and people are being harassed instead of helped as reflected in recent conversations on social media.",Oppose,Negative,,,,,,,
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,West Bengal,Kolkata,survey_feedback,,shopkeeper,"On the ground in Kolkata, it is observed that Sukanya Samriddhi Account Scheme has too much paperwork and corruption at local level based on their day-to-day experience.",Oppose,Negative,,,,,,,
,,,,,,,,We are indebted to the officers of the HRD vertical of NITI Aayog who had given us the guidance in the special meetings held to finalise the tools for the study.,Neutral,,,,,,,Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,31.0
,,,,,,,,Tool kit and manual: To help the Assessors with the understanding about the survey protocols and manual were prepared and shared with all members of the survey team.,Neutral,,,,,,,SSG-2022-report.pdf,28.0
P010,PM-KISAN Income Support Scheme,Farmer_Support,Punjab,Ludhiana,news_comment,,parent,"In Ludhiana, many parents feel that PM-KISAN Income Support Scheme looks good on paper but implementation is very weak as reflected in recent conversations on social media.",Oppose,Negative,,,,,,,
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Punjab,Ludhiana,news_comment,,shopkeeper,"According to feedback collected in Ludhiana, Mid-Day Meal Scheme (MDM) needs proper monitoring and transparency before we can judge it according to informal surveys done by community groups.",Neutral,Neutral,,,,,,,
P007,National Education Policy 2020 (NEP 2020),Education_Reform,West Bengal,Kolkata,social_media_post,,shopkeeper,People in Kolkata often say that National Education Policy 2020 (NEP 2020) looks good on paper but implementation is very weak when asked in local meetings and discussions.,Oppose,Negative,,,,,,,
P018,Data Protection / DPDP Act,Data_Protection,Haryana,Gurugram,survey_feedback,,teacher,"On the ground in Gurugram, it is observed that Data Protection / DPDP Act reduced our daily struggles and brought some relief based on their day-to-day experience.",Support,Positive,,,,,,,
P014,National Food Security Act / PDS,Food_Security,Maharashtra,Mumbai,social_media_post,,student,"In Mumbai, many students feel that National Food Security Act / PDS helps poor and middle-class families who had no support earlier as reflected in recent conversations on social media.",Support,Positive,,,,,,,
P008,Ayushman Bharat – PM-JAY Health Insurance,Public_Health,Maharashtra,Mumbai,play_store_review,,official,People in Mumbai often say that Ayushman Bharat – PM-JAY Health Insurance feels more like a political advertisement than a real solution according to informal surveys done by community groups.,Oppose,Negative,,,,,,,
,,,,,,,, All the agencies involved in implementing the KGBV in one state should meet frequently and share good practices.,Neutral,,,,,,,Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,19.0
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Uttar Pradesh,Lucknow,news_comment,,shopkeeper,"In Lucknow, many shopkeepers feel that National Education Policy 2020 (NEP 2020) looks good on paper but implementation is very weak based on their day-to-day experience.",Oppose,Negative,,,,,,,
P004,Kasturba Gandhi Balika Vidyalaya (KGBV),Residential_Girls_Education,Tamil Nadu,Chennai,news_comment,,parent,"In Chennai, many parents feel that Kasturba Gandhi Balika Vidyalaya (KGBV) reduced our daily struggles and brought some relief",Support,Positive,,,,,,,
,,,,,,,,Table 5.63 Distribution of girls as per their ranking of the extra class room activities.,Neutral,,,,,,,Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,15.0
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Maharashtra,Mumbai,social_media_post,,student,"On the ground in Mumbai, it is observed that Sukanya Samriddhi Account Scheme looks good on paper but implementation is very weak",Oppose,Negative,,,,,,,
P009,Digital India Mission,Digital_Governance,Assam,Guwahati,social_media_post,,citizen,"According to feedback collected in Guwahati, Digital India Mission has made real difference on the ground in our area when asked in local meetings and discussions.",Support,Positive,,,,,,,
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Delhi,New Delhi,social_media_post,,parent,"According to feedback collected in New Delhi, National Education Policy 2020 (NEP 2020) needs proper monitoring and transparency before we can judge it",Neutral,Neutral,,,,,,,
P008,Ayushman Bharat – PM-JAY Health Insurance,Public_Health,Delhi,New Delhi,social_media_post,,student,"In New Delhi, many students feel that Ayushman Bharat – PM-JAY Health Insurance feels more like a political advertisement than a real solution when asked in local meetings and discussions.",Oppose,Negative,,,,,,,
P009,Digital India Mission,Digital_Governance,Haryana,Gurugram,survey_feedback,,parent,"In Gurugram, many parents feel that Digital India Mission helps poor and middle-class families who had no support earlier according to informal surveys done by community groups.",Support,Positive,,,,,,,
P019,Electric Vehicle (EV) Policy & FAME-II,Clean_Mobility,Rajasthan,Jaipur,social_media_post,,official,"On the ground in Jaipur, it is observed that Electric Vehicle (EV) Policy & FAME-II has potential but the government needs to fix practical issues whenever the topic comes up in public meetings.",Neutral,Neutral,,,,,,,
P014,National Food Security Act / PDS,Food_Security,Punjab,Ludhiana,news_comment,,employee,"In Ludhiana, many employees feel that National Food Security Act / PDS is a step in the right direction and should be strengthened further as reflected in recent conversations on social media.",Support,Positive,,,,,,,
P009,Digital India Mission,Digital_Governance,Uttar Pradesh,Lucknow,social_media_post,,official,"On the ground in Lucknow, it is observed that Digital India Mission has made real difference on the ground in our area as reflected in recent conversations on social media.",Support,Positive,,,,,,,
P019,Electric Vehicle (EV) Policy & FAME-II,Clean_Mobility,Delhi,New Delhi,play_store_review,,shopkeeper,People in New Delhi often say that Electric Vehicle (EV) Policy & FAME-II could become effective if local officials take it seriously according to informal surveys done by community groups.,Neutral,Neutral,,,,,,,
